name;link;time
Истребитель Су-30 был поднят из-за обнаружения БПЛА США;https://lenta.ru/news/2023/08/05/ekipaj/;17:50, 05.08.2023
В Суэцком канале затонул буксир после столкновения с танкером;https://lenta.ru/news/2023/08/05/suez_canal_tugboat/;17:51, 05.08.2023
Матыцин оценил требование Украины дисквалифицировать российскую саблистку;https://lenta.ru/news/2023/08/05/matyzin/;17:48, 05.08.2023
Москалькова прокомментировала выселение российских детей из отеля в Турции;https://lenta.ru/news/2023/08/05/moskalk/;17:42, 05.08.2023
Скрывавшийся 11 лет преступник попался полиции из-за страсти к футболу;https://lenta.ru/news/2023/08/05/fatalball/;17:41, 05.08.2023
Россиянин сделал своей возлюбленной предложение и утонул;https://lenta.ru/news/2023/08/05/kras_kras/;17:31, 05.08.2023
17-летняя девушка попала под поезд в Подмосковье;https://moslenta.ru/news/lyudi/17-letnyaya-devushka-popala-pod-poezd-v-podmoskove-05-08-2023.htm/;17:27, 05.08.2023
Стало известно о состоянии Кылычдароглу после ДТП с участием его кортежа;https://lenta.ru/news/2023/08/05/oki/;17:19, 05.08.2023
Венгрия заявила о невозможности обойтись без российского газа;https://lenta.ru/news/2023/08/05/veng_gaz/;17:16, 05.08.2023
Депутат Рады заявил об обысках СБУ у его помощника;https://lenta.ru/news/2023/08/05/dubinsky_obysk/;17:15, 05.08.2023
В российском регионе перевернулось судно с находившимися на нем людьми;https://lenta.ru/news/2023/08/05/ship_upside_down/;17:10, 05.08.2023
В США заявили о намерении Запада ликвидировать Зеленского;https://lenta.ru/news/2023/08/05/zelya/;17:07, 05.08.2023
Туркменская авиакомпания продлила приостановку полетов в Москву;https://lenta.ru/news/2023/08/05/turkmenistan_avia/;17:04, 05.08.2023
Огонь, пещеры и ритуалы воскрешения:;https://lenta.ru/extlink/2023/08/04/sektaa/?intlnk=true;00:01, 05.08.2023
Танкер получил пробоину в Керченском проливе.;https://lenta.ru/extlink/2023/08/05/siga/?intlnk=true;13:40, 05.08.2023
Бой Джошуа отменили из-за положительной допинг-пробы соперника;https://lenta.ru/news/2023/08/05/whyte_doping/;17:04, 05.08.2023
Тренер посоветовала упражнения для снятия напряжения с мышц рук;https://lenta.ru/news/2023/08/05/fitness/;17:01, 05.08.2023
В России оценили идею разрешить женщинам в декрете работать дистанционно;https://lenta.ru/news/2023/08/05/dekret_mat/;16:51, 05.08.2023
В российских городах отведут специальные зоны для полетов БПЛА;https://lenta.ru/news/2023/08/05/drones0508/;16:39, 05.08.2023
Кортеж экс-кандидата в президенты Турции попал в аварию;https://lenta.ru/news/2023/08/05/kilichbudzdorov/;16:35, 05.08.2023
В ООН прокомментировали атаку украинского дрона на российский танкер;https://lenta.ru/news/2023/08/05/tan_ker/;16:27, 05.08.2023
Франция уступает России влияние в Африке.;https://lenta.ru/extlink/2023/08/04/fraf/?intlnk=true;20:18, 04.08.2023
Танкер получил пробоину в Керченском проливе. Что известно об атаке украинских дронов на российское судно в Крыму?;https://lenta.ru/news/2023/08/05/attack0508/;21:53, 05.08.2023
Посольство КНР потребовало от РФ расследования «жесткого» обращения с китайцами;https://lenta.ru/news/2023/08/05/_china_/;21:53, 05.08.2023
В районе Керченского пролива произошел взрыв, власти полуострова не подтвердили атаку на Крымский мост. Что известно?;https://lenta.ru/news/2023/08/05/most/;21:53, 05.08.2023
Экс-генерал ВСУ заявил о способности российских войск дойти до Киева за 12 часов;https://lenta.ru/news/2023/08/04/krivinos/;21:53, 05.08.2023
Доллар подорожал до 96 рублей;https://lenta.ru/news/2023/08/04/dollar_cse_vyshe/;21:53, 05.08.2023
Путин запретил выезд за границу с момента вручения повестки;https://lenta.ru/news/2023/08/04/putin_granica/;21:53, 05.08.2023
Новый сериал вселенной Marvel разворачивается в России.;https://lenta.ru/articles/2023/07/27/secretinv/;00:01, 27.07.2023
Россиянки судятся с бывшими мужьями из-за не вернувшихся со СВО сыновей.;https://lenta.ru/articles/2023/07/31/mothers/;00:01, 31.07.2023
«Власти скрывали технологии инопланетян»;https://lenta.ru/articles/2023/07/29/thebiggestone/;00:02, 29.07.2023
«Там нормальные парни сидят»;https://lenta.ru/articles/2023/07/30/book/;00:02, 30.07.2023
«Мир стоял на грани ядерной войны»;https://lenta.ru/articles/2023/07/27/korean_conflict/;00:01, 27.07.2023
Безжалостная пехота Гитлера.;https://lenta.ru/articles/2023/07/30/56division/;21:53, 05.08.2023
«У русских больше оружия и людей»;https://lenta.ru/articles/2023/07/28/kontr_nastuplenie/;00:01, 28.07.2023
«Думала, меня увезут в рабство»;https://lenta.ru/articles/2023/07/31/mermaid/;00:01, 31.07.2023
Оазисы, неповторимый парфюм и уникальные вади:;https://lenta.ru/articles/2023/07/27/oman/;00:01, 27.07.2023
«Вы — шпион!»;https://lenta.ru/articles/2023/07/30/spy/;00:02, 30.07.2023
Внебрачный сын Жириновского потребовал признать отцовство.;https://lenta.ru/extlink/2023/08/04/otcovstvo/?intlnk=true;19:48, 04.08.2023
В России оценили потребность в операторах дронов;https://lenta.ru/news/2023/08/05/need_drones/;16:24, 05.08.2023
Бросившего гранату в машину возле «Москва-Сити» заключили в СИЗО;https://lenta.ru/news/2023/08/05/sizz/;16:22, 05.08.2023
В Молдавии оценили перспективы начала переговоров о вступлении в ЕС;https://lenta.ru/news/2023/08/05/eu_member/;16:15, 05.08.2023
Появилась информация о переговорах Дзагоева с турецким клубом;https://lenta.ru/news/2023/08/05/dzagoev/;16:08, 05.08.2023
Родители начали сами вывозить в Россию выселенных из отеля в Турции детей;https://lenta.ru/news/2023/08/05/hotel/;16:05, 05.08.2023
В США заявили об отправке Зеленским сигнала бедствия НАТО;https://lenta.ru/news/2023/08/05/signal/;15:59, 05.08.2023
Скандальную певицу обвинили в издевательстве над подчиненными.;https://lenta.ru/extlink/2023/08/05/bananas/?intlnk=true;00:02, 05.08.2023
Израиль заказал десятки тысяч снарядов взамен изъятых США для Украины;https://lenta.ru/news/2023/08/05/m107a3/;15:51, 05.08.2023
Звезда мемов из 2000-х вновь штурмует интернет.;https://lenta.ru/extlink/2023/08/05/lukyanova/?intlnk=true;00:03, 05.08.2023
Популярный российский книжный сервис допустил утечку данных пользователей;https://lenta.ru/news/2023/08/05/litres/;15:50, 05.08.2023
