name;intro;link;time;source;source_link
Разгромивший колонну ВСУ на запорожском направлении экипаж танка получит звезды Героев РФ;МОСКВА, 5 августа. /ТАСС/. Экипаж танка «Алеша», разгромивший колонну бронетехники Вооруженных сил Украины (ВСУ) на запорожском направлении, представлен к званию Героев России, сообщили журналистам в Минобороны РФ.;https://news.mail.ru/society/57300450/;2023-08-05T15:59:33+03:00;ТАСС;http://www.tass.ru/
В России начнут выпуск тяжелых дронов «Партизан»;Серийное производство тяжелых беспилотников «Партизан» планируют начать в 2024 году, сообщил Антон Рязанцев, председатель индустриального совета Центра НТИ по направлению «Технологии моделирования и разработки новых функциональных материалов с заданными свойствами», передает «РБК Новосибирск».;https://news.mail.ru/politics/57300331/;2023-08-05T15:12:44+03:00;РБК;https://www.rbc.ru/
В России начали производить дрон «Гастелло»;МОСКВА, 5 авг — РИА Новости. В России начали производить дрон-камикадзе «Гастелло», созданный с учетом пожеланий участников специальной военной операции, сообщил РИА Новости инженер-разработчик.;https://news.mail.ru/incident/57296769/;2023-08-05T10:49:42+03:00;© РИА Новости;http://www.ria.ru
Российские военные освободили Новоселовское в ЛНР;МОСКВА, 5 авг — РИА Новости. Российские военные освободили населенный пункт Новоселовское в ЛНР на Купянском направлении, сообщили в Минобороны.;https://news.mail.ru/incident/57299621/;2023-08-05T13:32:53+03:00;© РИА Новости;http://www.ria.ru
Бойцы группировки «Днепр» уничтожили скопление боевиков ВСУ;Российские военнослужащие группировки «Днепр» высокоточным ударом уничтожили скопление боевиков Вооруженных сил Украины (ВСУ) в низовьях Днепра. Кадры нанесения удара есть в распоряжении «Известия» в субботу, 5 августа. Была применена ракета «воздух — поверхность» по противнику, выявленному разведкой на одном из островов в низовьях реки.;https://news.mail.ru/incident/57298129/;2023-08-05T11:55:08+03:00;Известия;http://iz.ru/
;;https://sportmail.ru/news/football-foreign/57300390/;;;
Спецсчета отправляют на капремонт;В Госдуму внесен правительственный законопроект, ужесточающий контроль за целевым расходованием средств, находящихся на спецсчетах для финансирования капитального ремонта многоквартирных домов. Проектом предлагается создать публичный реестр протоколов собраний собственников, касающихся капремонта, а также ввести обязательный строительный контроль за работами в ремонтируемых домах. Эксперты отмечают, что проблемы в этой сфере есть — в частности, с поддельными протоколами собраний, которые предоставляются в банки для проведения платежей, — реестр может помочь исправить ситуацию, но его недостаточно. Обязательный же строительный контроль может привести к удорожанию капремонта.;https://news.mail.ru/politics/57295608/;2023-08-05T09:06:40+03:00;Газета Коммерсантъ;http://kommersant.ru/daily
Нетребко подала в суд на оперу в США за отмененные выступления;МОСКВА, 5 авг — РИА Новости. Российская оперная певица Анна Нетребко подала в суд на «Метрополитен-оперу» в Нью-Йорке и ее генерального менеджера Питера Гелба и потребовала выплатить компенсацию в размере 360 тысяч долларов за отмененные выступления, пишет Washington Post. Как отмечает издание, иск подали в суд Южного округа Нью-Йорка в пятницу.;https://news.mail.ru/society/57296480/;2023-08-05T04:44:45+03:00;© РИА Новости;http://www.ria.ru
Путин подписал закон о повышении призывного возраста;. Владимир Путин подписал федеральный закон с поправками в действующее законодательство, так с 1 января 2024 года призывной возраст повысится до 30 лет. Документ  на портале правовой информации.;https://news.mail.ru/politics/57290577/?utm_source=block_popular;2023-08-04T15:19:04+03:00;© РИА Новости;http://www.ria.ru
Картаполов перечислил, что будет считаться уклонением от мобилизации;Самовольное оставление воинской части мобилизованным и неявка в военкомат после получения повестки будет считаться уклонением от службы по мобилизации, заявил ТАСС глава думского комитета по обороне Андрей Картаполов. Он добавил, что законопроект могут принять в трех чтениях в осеннюю сессию, сейчас его еще не внесли в Думу. Если проект будет принят, то за уклонение будет грозить до 5 лет лишения свободы или штраф в размере до 500 тыс. руб.;https://news.mail.ru/politics/57293757/?utm_source=block_popular;2023-08-04T20:11:04+03:00;РБК;https://www.rbc.ru/
